Day,Date,Confirmed,Recovered,Deaths
0, 2020-07-12, 879472, 554430, 23189
0, 2020-07-13, 907650, 572113, 23730
0, 2020-07-14, 937567, 593090, 24317
0, 2020-07-15, 970174, 613736, 24931
0, 2020-07-16, 1005642, 636603, 25611
0, 2020-07-17, 1040462, 654079, 26287
0, 2020-07-18, 1077873, 677662, 26830
0, 2020-07-19, 1118108, 700392, 27505
0, 2020-07-20, 1154914, 724695, 28101
0, 2020-07-21, 1194084, 752284, 28772
0, 2020-07-22, 1239685, 784159, 29902
0, 2020-07-23, 1288128, 817485, 30657
0, 2020-07-24, 1337016, 849999, 31420
0, 2020-07-25, 1387088, 887124, 32123
0, 2020-07-26, 1436020, 918636, 32827
0, 2020-07-27, 1482504, 952990, 33469
0, 2020-07-28, 1532135, 988673, 34243
0, 2020-07-29, 1584614, 1021559, 35018
0, 2020-07-30, 1639582, 1058984, 35802
0, 2020-07-31, 1697068, 1095538, 36566
0, 2020-08-01, 1752185, 1146906, 37420
0, 2020-08-02, 1804857, 1187261, 38180
0, 2020-08-03, 1855345, 1230331, 38986
0, 2020-08-04, 1906627, 1281551, 39835
0, 2020-08-05, 1963253, 1327134, 40754
0, 2020-08-06, 2025423, 1377275, 41653
0, 2020-08-07, 2086878, 1427662, 42590
0, 2020-08-08, 2152034, 1479797, 43465
